empresa_id,tipo_energia,proyecto_id,capacidad_generacion,reduccion_emisiones,costo_proyecto,estado_proyecto,total_inversion,energia_generada_total,emisiones_evitadas_total,retorno_estimado
EMP014653,Hidroeléctrica,PROJ000017,5412.19,450.83,99.14,En desarrollo,99.14,5412.19,450.83,0.22
EMP005826,Hidroeléctrica,PROJ000018,2759.48,616.52,386.56,Activo,784.83,7319.62,2944.2,0.27
EMP000435,Solar,PROJ000019,4307.75,3257.83,296.08,Finalizado,296.08,4307.75,3257.83,0.09
EMP004005,Hidroeléctrica,PROJ000020,7261.32,2238.83,111.77,Finalizado,111.77,7261.32,2238.83,0.05
EMP024243,Biomasa,PROJ000021,2419.32,1215.54,250.22,Activo,250.22,2419.32,1215.54,0.21
EMP002193,Solar,PROJ000022,3238.09,4202.34,132.49,En desarrollo,132.49,3238.09,4202.34,0.03
EMP007308,Eólica,PROJ000023,2961.36,4441.69,365.4,Activo,365.4,2961.36,4441.69,0.08
EMP009564,Eólica,PROJ000024,7892.97,2054.57,131.29,Activo,131.29,7892.97,2054.57,0.06
EMP002455,Geotérmica,PROJ000025,9717.01,4613.94,395.47,Finalizado,395.47,9717.01,4613.94,0.09
EMP019858,Geotérmica,PROJ000026,6810.25,2308.2,325.86,En desarrollo,325.86,6810.25,2308.2,0.14
EMP024221,Geotérmica,PROJ000027,1003.53,3176.35,368.99,Activo,368.99,1003.53,3176.35,0.12
EMP014993,Hidroeléctrica,PROJ000028,6774.57,3890.57,223.19,Finalizado,223.19,6774.57,3890.57,0.06
EMP015821,Geotérmica,PROJ000029,2595.51,4015.42,220.48,En desarrollo,220.48,2595.51,4015.42,0.05
EMP003388,Hidroeléctrica,PROJ000030,4660.37,1284.28,106.38,En desarrollo,106.38,4660.37,1284.28,0.08
EMP005378,Geotérmica,PROJ000031,9786.57,973.8,389.37,Finalizado,428.86,12163.71,5424.5,0.08
EMP017628,Eólica,PROJ000032,3506.95,1665.63,152.03,Activo,152.03,3506.95,1665.63,0.09
EMP007203,Geotérmica,PROJ000033,892.68,368.58,26.71,Activo,26.71,892.68,368.58,0.07
EMP020783,Eólica,PROJ000034,462.01,2883.99,300.98,Activo,300.98,462.01,2883.99,0.1
EMP021315,Eólica,PROJ000035,395.17,3978.98,259.25,Activo,259.25,395.17,3978.98,0.07
EMP003710,Hidroeléctrica,PROJ000036,743.32,3546.91,470.28,Finalizado,695.12,10039.12,8200.06,0.08
EMP005234,Biomasa,PROJ000037,4720.61,2925.21,300.83,Finalizado,300.83,4720.61,2925.21,0.1
EMP002197,Geotérmica,PROJ000038,4956.12,1786.09,370.39,Finalizado,370.39,4956.12,1786.09,0.21
EMP014242,Biomasa,PROJ000039,7968.15,4578.2,186.74,Activo,186.74,7968.15,4578.2,0.04
EMP020833,Solar,PROJ000040,1241.48,3696.8,448.52,En desarrollo,448.52,1241.48,3696.8,0.12
EMP013856,Geotérmica,PROJ000041,8158.06,4425.64,161.89,Finalizado,161.89,8158.06,4425.64,0.04
EMP005223,Solar,PROJ000042,6367.71,284.59,303.02,En desarrollo,303.02,6367.71,284.59,1.06
EMP019569,Eólica,PROJ000043,5138.49,871.19,299.94,Finalizado,734.53,12557.2,4541.33,0.16
EMP006667,Solar,PROJ000044,6359.96,2258.1,202.18,Activo,202.18,6359.96,2258.1,0.09
EMP000519,Biomasa,PROJ000045,9105.72,2954.62,140.39,Activo,380.63,10237.27,6610.05,0.06
EMP007133,Biomasa,PROJ000046,1870.69,4156.79,93.46,Finalizado,93.46,1870.69,4156.79,0.02
EMP021457,Geotérmica,PROJ000047,7642.84,4714.12,482.02,Finalizado,482.02,7642.84,4714.12,0.1
EMP019638,Biomasa,PROJ000048,4799.37,4591.28,457.42,Activo,764.56,14703.98,6037.04,0.13
EMP023837,Eólica,PROJ000049,8166.03,1989.69,150.07,Finalizado,150.07,8166.03,1989.69,0.08
EMP003322,Biomasa,PROJ000050,8990.33,1929.77,300.75,En desarrollo,300.75,8990.33,1929.77,0.16
EMP001680,Biomasa,PROJ000051,4891.71,2051.06,319.26,En desarrollo,319.26,4891.71,2051.06,0.16
EMP009312,Biomasa,PROJ000052,2771.54,1981.07,478.98,Activo,537.67,3547.99,6659.86,0.08
EMP013176,Eólica,PROJ000053,2579.62,2228.74,381.8,Activo,381.8,2579.62,2228.74,0.17
EMP021003,Eólica,PROJ000054,7004.38,836.62,25.22,En desarrollo,25.22,7004.38,836.62,0.03
EMP009806,Hidroeléctrica,PROJ000055,5812.8,442.59,433.26,Finalizado,433.26,5812.8,442.59,0.98
EMP024423,Geotérmica,PROJ000056,7512.41,1195.84,175.22,Activo,175.22,7512.41,1195.84,0.15
EMP023143,Biomasa,PROJ000057,7065.33,1555.97,265.4,Activo,265.4,7065.33,1555.97,0.17
EMP023139,Eólica,PROJ000058,9869.21,585.28,373.04,Finalizado,373.04,9869.21,585.28,0.64
EMP018553,Solar,PROJ000059,8422.98,373.32,179.93,Activo,398.07,17020.65,1603.86,0.25
EMP002004,Geotérmica,PROJ000060,7078.93,3963.84,346.02,En desarrollo,346.02,7078.93,3963.84,0.09
EMP022443,Geotérmica,PROJ000061,7274.09,4130.43,297.23,En desarrollo,297.23,7274.09,4130.43,0.07
EMP010270,Hidroeléctrica,PROJ000062,3271.65,1314.98,412.48,Finalizado,412.48,3271.65,1314.98,0.31
EMP002976,Geotérmica,PROJ000063,1453.76,3969.17,215.22,En desarrollo,668.92,6205.55,5032.22,0.13
EMP014795,Hidroeléctrica,PROJ000064,8544.98,3746.07,132.85,Finalizado,132.85,8544.98,3746.07,0.04
EMP002177,Hidroeléctrica,PROJ000065,8888.14,1880.17,295.32,En desarrollo,563.77,17706.14,3063.24,0.18
EMP015378,Geotérmica,PROJ000066,8859.63,2341.21,51.52,Finalizado,51.52,8859.63,2341.21,0.02
EMP007377,Eólica,PROJ000067,6352.95,3965.58,280.69,En desarrollo,520.25,12691.04,7815.58,0.07
EMP004049,Eólica,PROJ000068,9155.89,4562.32,242.48,Activo,242.48,9155.89,4562.32,0.05
EMP015245,Geotérmica,PROJ000069,1122.67,1131.38,106.06,Activo,106.06,1122.67,1131.38,0.09
EMP017328,Hidroeléctrica,PROJ000070,3584.84,2621.52,36.26,En desarrollo,36.26,3584.84,2621.52,0.01
EMP015954,Biomasa,PROJ000071,441.64,2590.58,252.09,Activo,252.09,441.64,2590.58,0.1
EMP022908,Solar,PROJ000072,7019.6,4413.06,497.26,En desarrollo,521.92,16780.68,7563.47,0.07
EMP008677,Eólica,PROJ000073,2038.99,3091.7,58.59,Activo,58.59,2038.99,3091.7,0.02
EMP019419,Geotérmica,PROJ000074,2540.88,3999.79,113.11,Finalizado,113.11,2540.88,3999.79,0.03
EMP014056,Geotérmica,PROJ000075,4222.3,1372.28,451.66,Activo,451.66,4222.3,1372.28,0.33
EMP005108,Solar,PROJ000076,9320.05,1465.92,244.95,Finalizado,244.95,9320.05,1465.92,0.17
EMP016479,Solar,PROJ000077,8452.87,2313.45,30.49,Finalizado,516.87,11020.36,2739.99,0.19
EMP009922,Biomasa,PROJ000078,3714.22,4505.66,50.89,Activo,50.89,3714.22,4505.66,0.01
EMP013107,Geotérmica,PROJ000079,7450.57,3814.89,462.42,En desarrollo,835.19,9618.74,4755.42,0.18
EMP021677,Hidroeléctrica,PROJ000080,1192.29,1273.88,165.76,En desarrollo,165.76,1192.29,1273.88,0.13
EMP008339,Geotérmica,PROJ000081,6265.0,2824.41,433.79,Activo,433.79,6265.0,2824.41,0.15
EMP018852,Solar,PROJ000082,1082.81,1148.32,172.86,Activo,326.45,5506.12,3109.4,0.1
EMP002056,Biomasa,PROJ000083,5448.63,3300.97,244.49,Activo,244.49,5448.63,3300.97,0.07
EMP010008,Biomasa,PROJ000084,4030.47,3629.93,242.79,En desarrollo,242.79,4030.47,3629.93,0.07
EMP015067,Eólica,PROJ000085,3466.66,1913.14,260.09,Activo,260.09,3466.66,1913.14,0.14
EMP024268,Geotérmica,PROJ000086,8972.39,2539.9,422.37,Activo,811.67,10620.09,5125.32,0.16
EMP020209,Solar,PROJ000087,4153.06,1368.01,149.55,Activo,149.55,4153.06,1368.01,0.11
EMP016385,Solar,PROJ000088,6404.88,2901.23,394.65,Activo,394.65,6404.88,2901.23,0.14
EMP013197,Hidroeléctrica,PROJ000089,448.98,437.41,440.2,En desarrollo,707.18,9727.8,503.98,1.4
EMP007593,Biomasa,PROJ000090,5717.72,3889.93,162.69,Finalizado,162.69,5717.72,3889.93,0.04
EMP020818,Biomasa,PROJ000091,1885.62,676.76,140.11,Activo,140.11,1885.62,676.76,0.21
EMP022682,Geotérmica,PROJ000092,1607.27,4138.74,416.78,En desarrollo,416.78,1607.27,4138.74,0.1
EMP007056,Solar,PROJ000093,6216.41,1769.17,384.92,Finalizado,384.92,6216.41,1769.17,0.22
EMP011860,Geotérmica,PROJ000094,342.23,584.37,263.21,Finalizado,263.21,342.23,584.37,0.45
EMP014091,Biomasa,PROJ000095,5210.05,1120.07,413.24,Finalizado,413.24,5210.05,1120.07,0.37
EMP019520,Eólica,PROJ000096,1836.52,3388.66,33.1,Finalizado,169.83,5196.81,6045.66,0.03
EMP016840,Solar,PROJ000097,3813.1,1602.67,109.47,En desarrollo,333.99,9568.46,3147.37,0.11
EMP022517,Hidroeléctrica,PROJ000098,3081.07,4747.53,429.77,Finalizado,429.77,3081.07,4747.53,0.09
EMP003583,Eólica,PROJ000099,3478.02,2222.78,443.28,Finalizado,585.42,10868.04,3987.48,0.15
EMP015404,Biomasa,PROJ000100,3788.63,1771.08,128.82,Finalizado,128.82,3788.63,1771.08,0.07
EMP005287,Hidroeléctrica,PROJ000101,8926.25,985.28,290.42,Activo,290.42,8926.25,985.28,0.29
EMP002022,Solar,PROJ000102,1578.9,2579.99,30.33,Activo,30.33,1578.9,2579.99,0.01
EMP021955,Hidroeléctrica,PROJ000103,773.24,442.67,157.83,Finalizado,157.83,773.24,442.67,0.36
EMP008292,Geotérmica,PROJ000104,4590.75,487.16,129.41,Finalizado,160.44,12130.44,4015.75,0.04
EMP017734,Geotérmica,PROJ000105,8721.6,4276.49,72.5,En desarrollo,72.5,8721.6,4276.49,0.02
EMP012724,Biomasa,PROJ000106,4851.95,3190.43,131.32,Finalizado,674.61,16880.72,7509.45,0.09
EMP016301,Geotérmica,PROJ000107,1637.7,3714.49,175.53,En desarrollo,175.53,1637.7,3714.49,0.05
EMP005574,Geotérmica,PROJ000108,6101.73,4477.05,184.03,Activo,652.06,7660.24,8903.46,0.07
EMP014637,Solar,PROJ000109,9681.29,1355.05,215.73,Finalizado,215.73,9681.29,1355.05,0.16
EMP008591,Eólica,PROJ000110,2604.67,1078.96,14.96,Activo,14.96,2604.67,1078.96,0.01
EMP008998,Geotérmica,PROJ000111,5423.01,3787.28,4.44,Activo,4.44,5423.01,3787.28,0.0
EMP017617,Eólica,PROJ000112,9661.79,4319.17,370.27,Activo,370.27,9661.79,4319.17,0.09
EMP015965,Solar,PROJ000113,1186.05,286.65,254.9,Activo,549.96,6211.14,4394.45,0.13
EMP005455,Eólica,PROJ000114,6065.29,1932.14,169.91,Finalizado,169.91,6065.29,1932.14,0.09
EMP016869,Biomasa,PROJ000115,8083.64,3628.64,39.6,En desarrollo,39.6,8083.64,3628.64,0.01
EMP021112,Hidroeléctrica,PROJ000116,9877.12,1789.86,363.0,En desarrollo,608.65,17036.11,6252.12,0.1
EMP012696,Eólica,PROJ000117,9641.07,2753.51,41.96,Activo,41.96,9641.07,2753.51,0.02
EMP005467,Eólica,PROJ000118,3370.63,2839.5,106.2,Finalizado,106.2,3370.63,2839.5,0.04
EMP015016,Biomasa,PROJ000119,4698.72,678.92,381.42,Finalizado,381.42,4698.72,678.92,0.56
EMP014591,Solar,PROJ000120,7958.55,4937.4,357.42,Finalizado,357.42,7958.55,4937.4,0.07
EMP010501,Eólica,PROJ000121,4389.21,1332.87,159.9,Activo,159.9,4389.21,1332.87,0.12
EMP010991,Eólica,PROJ000122,7051.07,3499.58,307.58,Activo,376.32,14279.89,7327.44,0.05
EMP011217,Geotérmica,PROJ000123,299.21,338.52,485.47,Finalizado,485.47,299.21,338.52,1.43
EMP015667,Geotérmica,PROJ000124,9669.19,4336.99,171.06,En desarrollo,579.02,17655.96,6654.46,0.09
EMP011632,Hidroeléctrica,PROJ000125,9665.91,3568.58,314.82,Finalizado,314.82,9665.91,3568.58,0.09
EMP020271,Geotérmica,PROJ000126,1217.25,2316.72,305.59,En desarrollo,575.87,7631.84,5016.5,0.11
EMP023872,Hidroeléctrica,PROJ000127,9356.37,3473.93,372.81,Finalizado,372.81,9356.37,3473.93,0.11
EMP002839,Hidroeléctrica,PROJ000128,1298.2,3216.51,47.92,Activo,432.81,5870.28,7733.1,0.06
EMP021493,Biomasa,PROJ000129,1422.75,1302.55,327.23,Finalizado,327.23,1422.75,1302.55,0.25
EMP018872,Hidroeléctrica,PROJ000130,5211.1,1843.63,427.2,Activo,427.2,5211.1,1843.63,0.23
EMP018170,Geotérmica,PROJ000131,9946.67,2405.33,296.21,Finalizado,296.21,9946.67,2405.33,0.12
EMP010519,Biomasa,PROJ000132,4340.7,1118.99,349.32,En desarrollo,349.32,4340.7,1118.99,0.31
EMP011314,Eólica,PROJ000133,3901.01,4628.3,197.36,En desarrollo,197.36,3901.01,4628.3,0.04
EMP023428,Eólica,PROJ000134,8314.89,873.48,350.92,En desarrollo,350.92,8314.89,873.48,0.4
EMP018842,Biomasa,PROJ000135,8626.4,2312.4,483.77,Activo,483.77,8626.4,2312.4,0.21
EMP004813,Solar,PROJ000136,7809.1,4308.75,88.18,Activo,88.18,7809.1,4308.75,0.02
EMP013203,Geotérmica,PROJ000137,7279.77,1960.32,47.91,Activo,47.91,7279.77,1960.32,0.02
EMP010247,Eólica,PROJ000138,8251.26,1377.41,113.85,Activo,113.85,8251.26,1377.41,0.08
EMP015239,Geotérmica,PROJ000139,7988.25,2448.4,333.72,En desarrollo,333.72,7988.25,2448.4,0.14
EMP023427,Eólica,PROJ000140,6293.37,3734.24,55.14,En desarrollo,55.14,6293.37,3734.24,0.01
EMP010886,Biomasa,PROJ000141,7269.79,4700.75,122.15,Activo,122.15,7269.79,4700.75,0.03
EMP021407,Solar,PROJ000142,8381.75,1643.33,3.04,Activo,3.04,8381.75,1643.33,0.0
EMP016173,Hidroeléctrica,PROJ000143,3384.1,2317.3,277.53,En desarrollo,277.53,3384.1,2317.3,0.12
EMP024048,Eólica,PROJ000144,8147.45,2282.68,154.45,Finalizado,154.45,8147.45,2282.68,0.07
EMP022206,Hidroeléctrica,PROJ000145,2326.96,4183.7,256.68,Finalizado,403.19,6279.21,7723.2,0.05
EMP007530,Geotérmica,PROJ000146,4476.55,3166.34,425.64,Activo,647.85,20539.42,4588.65,0.14
EMP012420,Eólica,PROJ000147,3065.55,4571.56,96.64,Activo,96.64,3065.55,4571.56,0.02
EMP008559,Hidroeléctrica,PROJ000148,9579.61,520.05,381.56,Finalizado,381.56,9579.61,520.05,0.73
EMP000931,Hidroeléctrica,PROJ000149,9777.6,2916.91,84.79,Finalizado,867.58,19932.15,9220.87,0.09
EMP010470,Biomasa,PROJ000150,1480.87,4767.47,180.79,En desarrollo,180.79,1480.87,4767.47,0.04
EMP014362,Geotérmica,PROJ000151,5122.04,1274.88,362.99,En desarrollo,362.99,5122.04,1274.88,0.28
EMP016978,Geotérmica,PROJ000152,7516.51,3135.04,440.09,Finalizado,440.09,7516.51,3135.04,0.14
EMP018335,Biomasa,PROJ000153,7210.96,4463.35,349.66,Finalizado,349.66,7210.96,4463.35,0.08
EMP014382,Eólica,PROJ000154,6888.81,185.73,426.4,En desarrollo,722.25,12826.2,326.4,2.21
EMP003206,Solar,PROJ000155,5767.93,4605.34,27.23,Finalizado,27.23,5767.93,4605.34,0.01
EMP016890,Solar,PROJ000156,9637.57,2590.94,46.53,Activo,46.53,9637.57,2590.94,0.02
EMP022240,Solar,PROJ000157,1221.49,1706.48,465.32,Activo,525.63,5106.42,6098.84,0.09
EMP005309,Hidroeléctrica,PROJ000158,7245.15,4917.07,208.46,Activo,208.46,7245.15,4917.07,0.04
EMP006802,Hidroeléctrica,PROJ000159,6615.41,3576.01,483.78,Activo,483.78,6615.41,3576.01,0.14
EMP007020,Solar,PROJ000160,8740.92,2024.21,92.87,En desarrollo,92.87,8740.92,2024.21,0.05
EMP006102,Biomasa,PROJ000161,4605.36,2795.41,221.01,Activo,221.01,4605.36,2795.41,0.08
EMP005640,Geotérmica,PROJ000162,7560.78,3090.02,245.61,Activo,245.61,7560.78,3090.02,0.08
EMP010656,Solar,PROJ000163,5046.2,2345.02,418.86,Finalizado,418.86,5046.2,2345.02,0.18
EMP019801,Eólica,PROJ000164,6804.5,3272.74,491.72,Activo,491.72,6804.5,3272.74,0.15
EMP008331,Solar,PROJ000165,5389.88,2443.77,179.3,En desarrollo,179.3,5389.88,2443.77,0.07
EMP010308,Solar,PROJ000166,832.04,390.58,291.9,En desarrollo,291.9,832.04,390.58,0.75
EMP014966,Geotérmica,PROJ000167,5970.03,247.37,193.6,En desarrollo,273.5,13708.9,4159.68,0.07
EMP019294,Eólica,PROJ000168,3096.28,4893.12,468.38,Activo,468.38,3096.28,4893.12,0.1
EMP007909,Eólica,PROJ000169,2138.43,2999.0,495.22,Finalizado,835.36,9729.26,6367.84,0.13
EMP004839,Hidroeléctrica,PROJ000170,3452.55,627.65,314.6,Finalizado,314.6,3452.55,627.65,0.5
EMP001675,Geotérmica,PROJ000171,3410.07,161.95,73.31,En desarrollo,73.31,3410.07,161.95,0.45
EMP021075,Geotérmica,PROJ000172,3528.01,4015.45,451.57,Activo,451.57,3528.01,4015.45,0.11
EMP008835,Biomasa,PROJ000173,7926.52,788.21,101.48,En desarrollo,429.26,17435.22,4395.72,0.1
EMP005629,Eólica,PROJ000174,5692.52,354.83,341.63,Finalizado,341.63,5692.52,354.83,0.96
EMP017667,Biomasa,PROJ000175,5787.2,3494.61,8.78,Finalizado,8.78,5787.2,3494.61,0.0
EMP000493,Biomasa,PROJ000176,1910.58,2115.81,270.43,En desarrollo,270.43,1910.58,2115.81,0.13
EMP005940,Solar,PROJ000177,9849.18,515.97,420.26,Finalizado,420.26,9849.18,515.97,0.81
EMP011433,Solar,PROJ000178,4527.7,3809.57,469.8,En desarrollo,469.8,4527.7,3809.57,0.12
EMP007134,Eólica,PROJ000179,1778.65,259.52,409.85,En desarrollo,409.85,1778.65,259.52,1.58
EMP000739,Eólica,PROJ000180,5211.53,532.55,28.32,En desarrollo,28.32,5211.53,532.55,0.05
EMP012360,Eólica,PROJ000181,488.5,3970.27,221.69,En desarrollo,221.69,488.5,3970.27,0.06
EMP023978,Hidroeléctrica,PROJ000182,3264.61,3818.52,98.75,Finalizado,98.75,3264.61,3818.52,0.03
EMP015327,Solar,PROJ000183,5068.83,2439.11,466.15,Finalizado,466.15,5068.83,2439.11,0.19
EMP012158,Solar,PROJ000184,2506.83,217.6,112.07,En desarrollo,112.07,2506.83,217.6,0.52
EMP003321,Biomasa,PROJ000185,5416.33,4218.61,296.25,Finalizado,296.25,5416.33,4218.61,0.07
EMP021753,Solar,PROJ000186,7012.86,3349.99,405.77,En desarrollo,680.36,15619.28,7547.77,0.09
EMP001168,Hidroeléctrica,PROJ000187,9029.36,84.55,480.69,Activo,480.69,9029.36,84.55,5.69
EMP015432,Biomasa,PROJ000188,2903.82,1433.8,293.09,Finalizado,293.09,2903.82,1433.8,0.2
EMP016578,Hidroeléctrica,PROJ000189,4151.68,4285.1,97.67,Finalizado,97.67,4151.68,4285.1,0.02
EMP002407,Eólica,PROJ000190,8465.6,388.75,351.77,Finalizado,351.77,8465.6,388.75,0.9
EMP009182,Biomasa,PROJ000191,9594.18,4287.9,123.85,Activo,354.14,9834.49,5130.88,0.07
EMP012163,Hidroeléctrica,PROJ000192,1622.4,4697.84,486.24,Finalizado,486.24,1622.4,4697.84,0.1
EMP016972,Biomasa,PROJ000193,8552.5,3899.75,329.04,En desarrollo,329.04,8552.5,3899.75,0.08
EMP014572,Eólica,PROJ000194,3609.8,3249.96,341.98,Finalizado,341.98,3609.8,3249.96,0.11
EMP020477,Eólica,PROJ000195,5865.6,2283.65,64.26,Activo,64.26,5865.6,2283.65,0.03
EMP018814,Solar,PROJ000196,1723.36,3484.51,104.5,Activo,104.5,1723.36,3484.51,0.03
EMP018826,Geotérmica,PROJ000197,5241.16,2498.47,323.13,Activo,323.13,5241.16,2498.47,0.13
EMP002799,Hidroeléctrica,PROJ000198,2739.84,1675.11,441.63,En desarrollo,441.63,2739.84,1675.11,0.26
EMP019900,Geotérmica,PROJ000199,3277.85,4391.29,410.18,Finalizado,410.18,3277.85,4391.29,0.09
EMP010052,Biomasa,PROJ000200,9593.57,3998.64,391.33,Activo,391.33,9593.57,3998.64,0.1
EMP010369,Eólica,PROJ000201,6590.45,2979.46,173.41,Finalizado,660.28,14192.65,5699.32,0.12
EMP006895,Geotérmica,PROJ000202,6369.04,3682.89,362.08,Finalizado,362.08,6369.04,3682.89,0.1
EMP013437,Geotérmica,PROJ000203,6684.74,2529.72,316.2,En desarrollo,316.2,6684.74,2529.72,0.12
EMP004079,Biomasa,PROJ000204,2333.31,958.78,18.29,Activo,18.29,2333.31,958.78,0.02
EMP000120,Biomasa,PROJ000205,1513.66,4098.34,392.02,Finalizado,392.02,1513.66,4098.34,0.1
EMP009358,Eólica,PROJ000206,5499.62,88.5,286.31,En desarrollo,286.31,5499.62,88.5,3.24
EMP010625,Eólica,PROJ000207,5615.17,4061.58,496.33,En desarrollo,757.69,15604.04,9040.98,0.08
EMP003296,Biomasa,PROJ000208,8741.08,3273.66,327.26,Activo,327.26,8741.08,3273.66,0.1
EMP005068,Eólica,PROJ000209,6528.63,2783.74,98.85,Activo,98.85,6528.63,2783.74,0.04
EMP011739,Hidroeléctrica,PROJ000210,9875.45,3521.19,102.37,Activo,102.37,9875.45,3521.19,0.03
EMP005218,Eólica,PROJ000211,2244.02,2046.13,53.64,Activo,53.64,2244.02,2046.13,0.03
EMP004227,Biomasa,PROJ000212,5974.52,331.99,134.76,Finalizado,134.76,5974.52,331.99,0.41
EMP009574,Hidroeléctrica,PROJ000213,1741.06,1992.81,197.58,Activo,197.58,1741.06,1992.81,0.1
EMP013963,Biomasa,PROJ000214,5615.35,3443.19,420.24,Finalizado,420.24,5615.35,3443.19,0.12
EMP004716,Eólica,PROJ000215,8645.23,2757.72,295.7,Finalizado,295.7,8645.23,2757.72,0.11
EMP016303,Hidroeléctrica,PROJ000216,9532.02,886.76,261.97,Finalizado,261.97,9532.02,886.76,0.3
EMP007892,Geotérmica,PROJ000217,1605.73,1625.16,278.79,En desarrollo,278.79,1605.73,1625.16,0.17
EMP018166,Hidroeléctrica,PROJ000218,6639.08,3058.09,485.0,En desarrollo,485.0,6639.08,3058.09,0.16
EMP024034,Biomasa,PROJ000219,1447.12,3810.57,435.38,Activo,435.38,1447.12,3810.57,0.11
EMP003742,Eólica,PROJ000220,5205.63,2424.91,71.93,En desarrollo,71.93,5205.63,2424.91,0.03
EMP018802,Solar,PROJ000221,9472.44,4366.42,276.72,Activo,276.72,9472.44,4366.42,0.06
EMP014951,Eólica,PROJ000222,4303.54,378.51,498.66,En desarrollo,498.66,4303.54,378.51,1.32
EMP002195,Eólica,PROJ000223,9445.24,2138.83,61.42,Activo,61.42,9445.24,2138.83,0.03
EMP005477,Biomasa,PROJ000224,1918.04,1202.35,142.82,En desarrollo,257.79,10091.86,3960.27,0.07
EMP014711,Biomasa,PROJ000225,4942.71,1873.03,463.56,Activo,463.56,4942.71,1873.03,0.25
EMP020740,Biomasa,PROJ000226,694.86,3770.09,303.8,En desarrollo,303.8,694.86,3770.09,0.08
EMP002824,Biomasa,PROJ000227,5385.48,414.76,475.88,Activo,475.88,5385.48,414.76,1.15
EMP004459,Geotérmica,PROJ000228,7719.63,2579.7,332.33,En desarrollo,332.33,7719.63,2579.7,0.13
EMP009211,Geotérmica,PROJ000229,3974.76,4948.46,453.37,En desarrollo,453.37,3974.76,4948.46,0.09
EMP007148,Hidroeléctrica,PROJ000230,6571.09,939.3,298.85,En desarrollo,771.43,19031.07,6528.38,0.12
EMP012022,Solar,PROJ000231,8264.78,1121.06,132.82,En desarrollo,132.82,8264.78,1121.06,0.12
EMP016178,Hidroeléctrica,PROJ000232,2640.32,2856.36,88.12,Activo,88.12,2640.32,2856.36,0.03
EMP018359,Eólica,PROJ000233,1709.71,4569.72,209.43,En desarrollo,209.43,1709.71,4569.72,0.05
EMP012226,Hidroeléctrica,PROJ000234,1948.69,1224.59,308.53,En desarrollo,308.53,1948.69,1224.59,0.25
EMP014579,Eólica,PROJ000235,3864.09,3589.35,479.21,Activo,825.45,10726.4,6465.7,0.13
EMP013224,Geotérmica,PROJ000236,9860.95,2985.52,148.5,Activo,148.5,9860.95,2985.52,0.05
EMP014141,Geotérmica,PROJ000237,598.12,868.17,43.51,Activo,43.51,598.12,868.17,0.05
EMP020648,Geotérmica,PROJ000238,8061.53,1876.28,36.38,Finalizado,36.38,8061.53,1876.28,0.02
EMP013434,Solar,PROJ000239,8096.53,2683.58,455.95,En desarrollo,455.95,8096.53,2683.58,0.17
EMP001434,Solar,PROJ000240,8160.42,4488.46,466.05,En desarrollo,587.41,10838.75,8657.41,0.07
EMP024235,Biomasa,PROJ000241,8566.83,2107.4,107.71,Activo,107.71,8566.83,2107.4,0.05
EMP005009,Biomasa,PROJ000242,7031.26,3452.25,46.62,Activo,46.62,7031.26,3452.25,0.01
EMP005785,Biomasa,PROJ000243,2916.17,475.44,266.55,Activo,266.55,2916.17,475.44,0.56
