empresa_id,nombre,emisiones_netas,cumple_normativa,regulacion_id,costo_impuesto
EMP000033,Empresa_33,9615.76,0,REG000008,40132.08
EMP000034,Empresa_34,15814.13,0,REG000002,198240.43
EMP000035,Empresa_35,8834.34,0,REG000016,20039.4
EMP000036,Empresa_36,8208.73,0,REG000008,4365.38
EMP000037,Empresa_37,11775.48,0,REG000019,98277.82
EMP000038,Empresa_38,2815.01,1,REG000008,0.0
EMP000039,Empresa_39,6324.91,1,REG000010,0.0
EMP000040,Empresa_40,-175.94,1,REG000019,0.0
EMP000041,Empresa_41,100.95,1,REG000005,0.0
EMP000042,Empresa_42,3243.08,1,REG000011,0.0
EMP000043,Empresa_43,16256.7,0,REG000001,215658.05
EMP000044,Empresa_44,9759.74,0,REG000019,46170.94
EMP000045,Empresa_45,9954.52,0,REG000005,53370.13
EMP000046,Empresa_46,15344.56,0,REG000003,187706.62
EMP000047,Empresa_47,849.17,1,REG000000,0.0
EMP000048,Empresa_48,16485.61,0,REG000010,214799.81
EMP000049,Empresa_49,3386.15,1,REG000002,0.0
EMP000050,Empresa_50,15328.68,0,REG000001,191742.97
EMP000051,Empresa_51,-6011.38,1,REG000001,0.0
EMP000052,Empresa_52,1679.68,1,REG000000,0.0
EMP000053,Empresa_53,15431.06,0,REG000001,194381.31
EMP000054,Empresa_54,-2947.93,1,REG000016,0.0
EMP000055,Empresa_55,7516.14,1,REG000008,0.0
EMP000056,Empresa_56,8741.34,0,REG000005,21997.29
EMP000057,Empresa_57,-7037.1,1,REG000010,0.0
EMP000058,Empresa_58,16609.52,0,REG000016,222271.84
EMP000059,Empresa_59,17870.56,0,REG000000,250403.65
EMP000060,Empresa_60,2442.01,1,REG000003,0.0
EMP000061,Empresa_61,16414.26,0,REG000000,213180.62
EMP000062,Empresa_62,7968.47,1,REG000019,0.0
EMP000063,Empresa_63,9331.96,0,REG000002,34241.53
EMP000064,Empresa_64,14510.28,0,REG000003,166207.22
EMP000065,Empresa_65,-7889.91,1,REG000002,0.0
EMP000066,Empresa_66,8084.62,1,REG000010,0.0
EMP000067,Empresa_67,6919.59,1,REG000005,0.0
EMP000068,Empresa_68,6835.42,1,REG000005,0.0
EMP000069,Empresa_69,7073.06,1,REG000019,0.0
EMP000070,Empresa_70,15744.3,0,REG000002,196473.73
EMP000071,Empresa_71,-1837.72,1,REG000005,0.0
EMP000072,Empresa_72,903.99,1,REG000008,0.0
EMP000073,Empresa_73,167.9,1,REG000000,0.0
EMP000074,Empresa_74,191.44,1,REG000010,0.0
EMP000075,Empresa_75,16900.65,0,REG000008,225313.98
EMP000076,Empresa_76,1062.17,1,REG000011,0.0
EMP000077,Empresa_77,1617.21,1,REG000002,0.0
EMP000078,Empresa_78,15743.75,0,REG000019,200857.6
EMP000079,Empresa_79,-2241.15,1,REG000011,0.0
EMP000080,Empresa_80,-7204.22,1,REG000008,0.0
EMP000081,Empresa_81,8377.86,0,REG000019,10449.35
EMP000082,Empresa_82,12323.28,0,REG000002,109921.92
EMP000083,Empresa_83,4139.04,1,REG000005,0.0
EMP000084,Empresa_84,9811.59,0,REG000010,42943.79
EMP000085,Empresa_85,-150.52,1,REG000005,0.0
EMP000086,Empresa_86,11144.46,0,REG000000,78484.54
EMP000087,Empresa_87,10020.76,0,REG000003,50512.29
EMP000088,Empresa_88,-7347.94,1,REG000010,0.0
EMP000089,Empresa_89,-868.89,1,REG000019,0.0
EMP000090,Empresa_90,7245.71,1,REG000002,0.0
EMP000091,Empresa_91,9857.78,0,REG000019,48705.28
EMP000092,Empresa_92,2762.46,1,REG000001,0.0
EMP000093,Empresa_93,2178.47,1,REG000010,0.0
EMP000094,Empresa_94,9482.31,0,REG000011,39043.0
EMP000095,Empresa_95,8281.87,0,REG000001,10146.68
EMP000096,Empresa_96,-194.67,1,REG000005,0.0
EMP000097,Empresa_97,14349.39,0,REG000003,162061.09
EMP000098,Empresa_98,7294.15,1,REG000010,0.0
EMP000099,Empresa_99,-11038.8,1,REG000010,0.0
EMP000100,Empresa_100,13176.69,0,REG000001,136286.19
EMP000101,Empresa_101,-4681.09,1,REG000016,0.0
EMP000102,Empresa_102,7839.63,1,REG000000,0.0
EMP000103,Empresa_103,11462.73,0,REG000002,88150.01
EMP000104,Empresa_104,13491.29,0,REG000016,141166.67
EMP000105,Empresa_105,12817.05,0,REG000008,121508.87
EMP000106,Empresa_106,5246.45,1,REG000005,0.0
EMP000107,Empresa_107,83.26,1,REG000016,0.0
EMP000108,Empresa_108,3810.12,1,REG000003,0.0
EMP000109,Empresa_109,-425.43,1,REG000016,0.0
EMP000110,Empresa_110,841.57,1,REG000001,0.0
EMP000111,Empresa_111,12806.49,0,REG000002,122147.14
EMP000112,Empresa_112,-3320.76,1,REG000003,0.0
EMP000113,Empresa_113,7140.01,1,REG000005,0.0
EMP000114,Empresa_114,8489.97,0,REG000008,11514.5
EMP000115,Empresa_115,8055.74,0,REG000011,2694.0
EMP000116,Empresa_116,539.1,1,REG000008,0.0
EMP000117,Empresa_117,-9629.76,1,REG000016,0.0
EMP000118,Empresa_118,17925.79,0,REG000005,259507.17
EMP000119,Empresa_119,6186.59,1,REG000003,0.0
EMP000120,Empresa_120,-2218.6,1,REG000005,0.0
EMP000121,Empresa_121,9759.19,0,REG000016,44094.75
EMP000122,Empresa_122,3576.76,1,REG000005,0.0
EMP000123,Empresa_123,15667.75,0,REG000010,193739.91
EMP000124,Empresa_124,2550.28,1,REG000016,0.0
EMP000125,Empresa_125,9725.87,0,REG000016,43228.1
EMP000126,Empresa_126,-2013.95,1,REG000003,0.0
EMP000127,Empresa_127,13215.31,0,REG000019,135497.43
EMP000128,Empresa_128,13549.32,0,REG000019,144131.59
EMP000129,Empresa_129,17164.75,0,REG000003,234612.91
EMP000130,Empresa_130,5496.87,1,REG000011,0.0
EMP000131,Empresa_131,-5116.66,1,REG000019,0.0
EMP000132,Empresa_132,4419.32,1,REG000016,0.0
EMP000133,Empresa_133,13467.24,0,REG000019,142009.82
EMP000134,Empresa_134,14272.46,0,REG000008,158505.39
EMP000135,Empresa_135,3372.18,1,REG000005,0.0
EMP000136,Empresa_136,-4722.57,1,REG000019,0.0
EMP000137,Empresa_137,14720.89,0,REG000016,173148.57
EMP000138,Empresa_138,15416.87,0,REG000002,188189.75
EMP000139,Empresa_139,11279.89,0,REG000010,80752.51
EMP000140,Empresa_140,8543.73,0,REG000002,14299.31
EMP000141,Empresa_141,18157.09,0,REG000010,257840.42
EMP000142,Empresa_142,-3665.7,1,REG000000,0.0
EMP000143,Empresa_143,3007.34,1,REG000000,0.0
EMP000144,Empresa_144,13224.63,0,REG000008,131869.55
EMP000145,Empresa_145,14782.69,0,REG000005,178226.6
EMP000146,Empresa_146,488.22,1,REG000000,0.0
EMP000147,Empresa_147,9892.63,0,REG000002,48426.48
EMP000148,Empresa_148,14621.24,0,REG000016,170556.67
EMP000149,Empresa_149,-4390.56,1,REG000003,0.0
EMP000150,Empresa_150,12393.76,0,REG000003,111664.5
EMP000151,Empresa_151,7953.84,0,REG000011,97.59
EMP000152,Empresa_152,7232.55,1,REG000011,0.0
EMP000153,Empresa_153,2900.48,1,REG000000,0.0
EMP000154,Empresa_154,3525.63,1,REG000019,0.0
EMP000155,Empresa_155,12156.22,0,REG000019,108119.95
EMP000156,Empresa_156,13635.18,0,REG000010,141401.23
EMP000157,Empresa_157,1136.37,1,REG000000,0.0
EMP000158,Empresa_158,2666.12,1,REG000016,0.0
EMP000159,Empresa_159,15530.41,0,REG000010,190203.41
EMP000160,Empresa_160,-3153.61,1,REG000010,0.0
EMP000161,Empresa_161,2307.37,1,REG000008,0.0
EMP000162,Empresa_162,14819.0,0,REG000019,176952.81
EMP000163,Empresa_163,16389.85,0,REG000001,219089.32
EMP000164,Empresa_164,11851.11,0,REG000003,97680.41
EMP000165,Empresa_165,1030.84,1,REG000008,0.0
EMP000166,Empresa_166,-3248.97,1,REG000016,0.0
EMP000167,Empresa_167,-3403.48,1,REG000011,0.0
EMP000168,Empresa_168,8781.91,0,REG000003,18587.13
EMP000169,Empresa_169,19038.71,0,REG000005,288287.28
EMP000170,Empresa_170,10034.5,0,REG000002,52015.79
EMP000171,Empresa_171,-760.04,1,REG000008,0.0
EMP000172,Empresa_172,6516.2,1,REG000019,0.0
EMP000173,Empresa_173,10786.95,0,REG000002,71052.77
EMP000174,Empresa_174,18132.64,0,REG000002,256898.73
EMP000175,Empresa_175,6937.91,1,REG000019,0.0
EMP000176,Empresa_176,10828.29,0,REG000003,71322.34
EMP000177,Empresa_177,2937.66,1,REG000005,0.0
EMP000178,Empresa_178,2041.04,1,REG000008,0.0
EMP000179,Empresa_179,8442.01,0,REG000010,7677.11
EMP000180,Empresa_180,15453.46,0,REG000019,193353.61
EMP000181,Empresa_181,1287.29,1,REG000001,0.0
EMP000182,Empresa_182,9482.05,0,REG000010,34458.13
EMP000183,Empresa_183,17327.24,0,REG000000,236516.39
EMP000184,Empresa_184,-3438.17,1,REG000011,0.0
EMP000185,Empresa_185,5337.69,1,REG000008,0.0
EMP000186,Empresa_186,15426.35,0,REG000000,187929.64
EMP000187,Empresa_187,-6794.19,1,REG000008,0.0
EMP000188,Empresa_188,12248.05,0,REG000019,110493.76
EMP000189,Empresa_189,4526.06,1,REG000002,0.0
EMP000190,Empresa_190,8884.68,0,REG000011,23815.39
EMP000191,Empresa_191,-4944.06,1,REG000019,0.0
EMP000192,Empresa_192,7708.44,1,REG000005,0.0
EMP000193,Empresa_193,3617.56,1,REG000010,0.0
EMP000194,Empresa_194,12705.98,0,REG000001,124155.99
EMP000195,Empresa_195,5810.38,1,REG000002,0.0
EMP000196,Empresa_196,5439.87,1,REG000005,0.0
EMP000197,Empresa_197,2964.2,1,REG000002,0.0
EMP000198,Empresa_198,-3734.01,1,REG000019,0.0
EMP000199,Empresa_199,15193.06,0,REG000019,186622.27
EMP000200,Empresa_200,4181.36,1,REG000001,0.0
EMP000201,Empresa_201,19202.07,0,REG000000,284437.05
EMP000202,Empresa_202,7036.74,1,REG000005,0.0
EMP000203,Empresa_203,5016.96,1,REG000003,0.0
EMP000204,Empresa_204,18955.95,0,REG000008,277559.71
EMP000205,Empresa_205,8908.71,0,REG000010,19694.63
EMP000206,Empresa_206,14546.07,0,REG000003,167129.53
EMP000207,Empresa_207,14720.7,0,REG000000,169893.23
EMP000208,Empresa_208,5887.51,1,REG000016,0.0
EMP000209,Empresa_209,15578.62,0,REG000005,198809.35
EMP000210,Empresa_210,-1042.93,1,REG000016,0.0
EMP000211,Empresa_211,15450.3,0,REG000003,190431.54
EMP000212,Empresa_212,16268.91,0,REG000011,211965.57
EMP000213,Empresa_213,10364.4,0,REG000002,60362.26
EMP000214,Empresa_214,1323.14,1,REG000010,0.0
EMP000215,Empresa_215,8056.81,0,REG000019,2150.2
EMP000216,Empresa_216,12713.65,0,REG000000,118593.03
EMP000217,Empresa_217,13153.02,0,REG000003,131230.63
EMP000218,Empresa_218,18880.37,0,REG000001,283270.02
EMP000219,Empresa_219,4259.87,1,REG000002,0.0
EMP000220,Empresa_220,6917.87,1,REG000001,0.0
EMP000221,Empresa_221,15261.57,0,REG000010,183280.78
EMP000222,Empresa_222,9951.59,0,REG000011,51000.26
EMP000223,Empresa_223,4338.83,1,REG000011,0.0
EMP000224,Empresa_224,4614.99,1,REG000010,0.0
EMP000225,Empresa_225,8077.71,0,REG000016,359.46
EMP000226,Empresa_226,2672.1,1,REG000010,0.0
EMP000227,Empresa_227,18403.31,0,REG000010,264180.58
EMP000228,Empresa_228,626.32,1,REG000001,0.0
EMP000229,Empresa_229,2702.8,1,REG000003,0.0
EMP000230,Empresa_230,-4103.18,1,REG000019,0.0
EMP000231,Empresa_231,856.26,1,REG000003,0.0
EMP000232,Empresa_232,867.41,1,REG000008,0.0
EMP000233,Empresa_233,-1333.42,1,REG000010,0.0
EMP000234,Empresa_234,4248.22,1,REG000003,0.0
EMP000235,Empresa_235,-773.91,1,REG000011,0.0
EMP000236,Empresa_236,8893.33,0,REG000005,25927.75
EMP000237,Empresa_237,956.65,1,REG000005,0.0
EMP000238,Empresa_238,6019.53,1,REG000003,0.0
EMP000239,Empresa_239,702.83,1,REG000002,0.0
EMP000240,Empresa_240,17631.8,0,REG000008,243899.82
EMP000241,Empresa_241,7256.93,1,REG000016,0.0
EMP000242,Empresa_242,4912.12,1,REG000008,0.0
EMP000243,Empresa_243,-4816.02,1,REG000008,0.0
EMP000244,Empresa_244,9230.2,0,REG000019,32482.33
EMP000245,Empresa_245,13242.15,0,REG000010,131280.71
EMP000246,Empresa_246,13458.01,0,REG000016,140301.06
EMP000247,Empresa_247,7601.61,1,REG000019,0.0
EMP000248,Empresa_248,962.93,1,REG000010,0.0
EMP000249,Empresa_249,13398.42,0,REG000011,138825.49
EMP000250,Empresa_250,4477.97,1,REG000002,0.0
EMP000251,Empresa_251,2615.07,1,REG000003,0.0
EMP000252,Empresa_252,8061.35,0,REG000008,618.98
EMP000253,Empresa_253,5713.84,1,REG000008,0.0
EMP000254,Empresa_254,18640.52,0,REG000016,275098.15
EMP000255,Empresa_255,4938.25,1,REG000000,0.0
EMP000256,Empresa_256,-3630.81,1,REG000011,0.0
EMP000257,Empresa_257,17934.36,0,REG000008,251590.89
EMP000258,Empresa_258,9933.58,0,REG000001,52711.25
EMP000259,Empresa_259,11111.28,0,REG000019,81108.25
EMP000260,Empresa_260,-770.51,1,REG000002,0.0
EMP000261,Empresa_261,15080.14,0,REG000000,179080.52
EMP000262,Empresa_262,9140.16,0,REG000002,29388.99
EMP000263,Empresa_263,11248.68,0,REG000000,81148.4
EMP000264,Empresa_264,17184.07,0,REG000003,235110.79
EMP000265,Empresa_265,-4828.23,1,REG000010,0.0
EMP000266,Empresa_266,10627.29,0,REG000019,68597.11
EMP000267,Empresa_267,2959.84,1,REG000019,0.0
EMP000268,Empresa_268,2221.29,1,REG000003,0.0
EMP000269,Empresa_269,1104.81,1,REG000005,0.0
EMP000270,Empresa_270,10296.59,0,REG000010,55432.54
EMP000271,Empresa_271,2272.93,1,REG000016,0.0
EMP000272,Empresa_272,-4596.05,1,REG000016,0.0
EMP000273,Empresa_273,-2329.63,1,REG000001,0.0
EMP000274,Empresa_274,11353.63,0,REG000019,87373.0
EMP000275,Empresa_275,191.74,1,REG000000,0.0
EMP000276,Empresa_276,-2717.67,1,REG000002,0.0
EMP000277,Empresa_277,9703.5,0,REG000001,46782.08
EMP000278,Empresa_278,7718.78,1,REG000000,0.0
EMP000279,Empresa_279,6087.66,1,REG000002,0.0
EMP000280,Empresa_280,12746.49,0,REG000005,125570.47
EMP000281,Empresa_281,4901.75,1,REG000003,0.0
EMP000282,Empresa_282,8105.89,0,REG000008,1751.18
EMP000283,Empresa_283,755.04,1,REG000019,0.0
EMP000284,Empresa_284,11929.56,0,REG000010,97481.52
EMP000285,Empresa_285,5248.96,1,REG000019,0.0
EMP000286,Empresa_286,8752.47,0,REG000010,15671.45
EMP000287,Empresa_287,11571.79,0,REG000008,89854.36
EMP000288,Empresa_288,19337.07,0,REG000011,290142.29
EMP000289,Empresa_289,2224.6,1,REG000008,0.0
EMP000290,Empresa_290,121.33,1,REG000000,0.0
EMP000291,Empresa_291,-4679.68,1,REG000010,0.0
EMP000292,Empresa_292,12219.78,0,REG000003,107181.04
EMP000293,Empresa_293,10412.76,0,REG000002,61585.77
EMP000294,Empresa_294,4387.73,1,REG000001,0.0
EMP000295,Empresa_295,8726.97,0,REG000001,21616.91
EMP000296,Empresa_296,2449.07,1,REG000003,0.0
EMP000297,Empresa_297,5239.52,1,REG000000,0.0
EMP000298,Empresa_298,16728.79,0,REG000010,221061.69
EMP000299,Empresa_299,1263.32,1,REG000019,0.0
EMP000300,Empresa_300,14445.09,0,REG000000,162848.64
EMP000301,Empresa_301,13263.27,0,REG000001,138517.36
EMP000302,Empresa_302,7178.89,1,REG000008,0.0
EMP000303,Empresa_303,3156.81,1,REG000005,0.0
EMP000304,Empresa_304,588.57,1,REG000002,0.0
EMP000305,Empresa_305,7069.81,1,REG000005,0.0
EMP000306,Empresa_306,8576.9,0,REG000016,13343.39
EMP000307,Empresa_307,10165.58,0,REG000001,58689.89
EMP000308,Empresa_308,13609.6,0,REG000011,144206.35
EMP000309,Empresa_309,17332.47,0,REG000003,238935.06
EMP000310,Empresa_310,-2886.44,1,REG000019,0.0
EMP000311,Empresa_311,3770.36,1,REG000016,0.0
EMP000312,Empresa_312,9612.65,0,REG000001,44440.88
EMP000313,Empresa_313,8673.59,0,REG000005,20245.28
EMP000314,Empresa_314,3693.43,1,REG000016,0.0
EMP000315,Empresa_315,1371.86,1,REG000005,0.0
EMP000316,Empresa_316,6308.04,1,REG000002,0.0
EMP000317,Empresa_317,14603.8,0,REG000011,169538.57
EMP000318,Empresa_318,15327.34,0,REG000002,185924.64
EMP000319,Empresa_319,-1441.82,1,REG000016,0.0
EMP000320,Empresa_320,13415.7,0,REG000016,139200.58
EMP000321,Empresa_321,17167.02,0,REG000005,239885.38
EMP000322,Empresa_322,18012.94,0,REG000000,254042.88
EMP000323,Empresa_323,10956.01,0,REG000005,79268.66
EMP000324,Empresa_324,3631.34,1,REG000003,0.0
EMP000325,Empresa_325,3078.92,1,REG000008,0.0
EMP000326,Empresa_326,10089.98,0,REG000002,53419.43
EMP000327,Empresa_327,19643.92,0,REG000000,295730.73
EMP000328,Empresa_328,14818.61,0,REG000002,173053.77
EMP000329,Empresa_329,13320.75,0,REG000008,134312.93
EMP000330,Empresa_330,8188.91,0,REG000000,2940.68
EMP000331,Empresa_331,2453.98,1,REG000010,0.0
EMP000332,Empresa_332,2847.2,1,REG000011,0.0
EMP000333,Empresa_333,15412.12,0,REG000002,188069.57
EMP000334,Empresa_334,-3167.02,1,REG000019,0.0
EMP000335,Empresa_335,3413.73,1,REG000019,0.0
EMP000336,Empresa_336,3885.5,1,REG000008,0.0
EMP000337,Empresa_337,6764.45,1,REG000008,0.0
EMP000338,Empresa_338,12482.47,0,REG000008,113003.85
EMP000339,Empresa_339,4114.44,1,REG000011,0.0
EMP000340,Empresa_340,8164.25,0,REG000003,2670.03
EMP000341,Empresa_341,5078.83,1,REG000003,0.0
EMP000342,Empresa_342,15614.35,0,REG000016,196387.46
EMP000343,Empresa_343,16268.53,0,REG000000,209455.77
EMP000344,Empresa_344,897.02,1,REG000002,0.0
EMP000345,Empresa_345,9463.73,0,REG000010,33986.39
EMP000346,Empresa_346,10547.6,0,REG000005,68707.18
EMP000347,Empresa_347,9368.07,0,REG000001,38138.05
EMP000348,Empresa_348,6402.32,1,REG000011,0.0
EMP000349,Empresa_349,5926.96,1,REG000019,0.0
EMP000350,Empresa_350,618.66,1,REG000010,0.0
EMP000351,Empresa_351,5213.7,1,REG000002,0.0
EMP000352,Empresa_352,7816.28,1,REG000010,0.0
EMP000353,Empresa_353,11016.24,0,REG000002,76853.81
EMP000354,Empresa_354,2771.34,1,REG000005,0.0
EMP000355,Empresa_355,-1293.33,1,REG000005,0.0
EMP000356,Empresa_356,1771.68,1,REG000019,0.0
EMP000357,Empresa_357,14667.96,0,REG000008,168559.0
EMP000358,Empresa_358,3381.14,1,REG000002,0.0
EMP000359,Empresa_359,3961.97,1,REG000001,0.0
EMP000360,Empresa_360,11759.8,0,REG000019,97872.49
EMP000361,Empresa_361,13034.26,0,REG000000,126787.82
EMP000362,Empresa_362,4504.24,1,REG000011,0.0
EMP000363,Empresa_363,8230.95,0,REG000002,6385.97
EMP000364,Empresa_364,9624.39,0,REG000011,42663.2
EMP000365,Empresa_365,-682.37,1,REG000019,0.0
EMP000366,Empresa_366,725.33,1,REG000008,0.0
EMP000367,Empresa_367,-1528.42,1,REG000000,0.0
EMP000368,Empresa_368,18854.25,0,REG000002,275155.46
EMP000369,Empresa_369,16472.29,0,REG000001,221213.8
EMP000370,Empresa_370,3158.38,1,REG000019,0.0
EMP000371,Empresa_371,3397.53,1,REG000010,0.0
EMP000372,Empresa_372,4079.85,1,REG000019,0.0
EMP000373,Empresa_373,14264.46,0,REG000019,162617.96
EMP000374,Empresa_374,13201.53,0,REG000010,130234.75
EMP000375,Empresa_375,4798.9,1,REG000011,0.0
EMP000376,Empresa_376,4438.96,1,REG000002,0.0
EMP000377,Empresa_377,5046.49,1,REG000016,0.0
EMP000378,Empresa_378,10251.17,0,REG000010,54262.98
EMP000379,Empresa_379,5646.19,1,REG000010,0.0
EMP000380,Empresa_380,1586.34,1,REG000010,0.0
EMP000381,Empresa_381,3481.12,1,REG000005,0.0
EMP000382,Empresa_382,92.72,1,REG000016,0.0
EMP000383,Empresa_383,3169.93,1,REG000019,0.0
EMP000384,Empresa_384,13359.74,0,REG000008,135304.05
EMP000385,Empresa_385,15343.45,0,REG000010,185389.19
EMP000386,Empresa_386,16867.68,0,REG000002,224895.24
EMP000387,Empresa_387,16082.56,0,REG000016,208565.61
EMP000388,Empresa_388,5180.37,1,REG000010,0.0
EMP000389,Empresa_389,-1120.09,1,REG000016,0.0
EMP000390,Empresa_390,6365.79,1,REG000008,0.0
EMP000391,Empresa_391,3942.88,1,REG000008,0.0
EMP000392,Empresa_392,4227.78,1,REG000000,0.0
EMP000393,Empresa_393,-1989.62,1,REG000000,0.0
EMP000394,Empresa_394,-3483.01,1,REG000003,0.0
EMP000395,Empresa_395,3987.42,1,REG000001,0.0
EMP000396,Empresa_396,11279.2,0,REG000001,87387.87
EMP000397,Empresa_397,12330.92,0,REG000019,112635.95
EMP000398,Empresa_398,16193.87,0,REG000000,207547.46
EMP000399,Empresa_399,11112.01,0,REG000019,81127.12
EMP000400,Empresa_400,3991.99,1,REG000019,0.0
EMP000401,Empresa_401,2506.2,1,REG000010,0.0
EMP000402,Empresa_402,6520.23,1,REG000003,0.0
EMP000403,Empresa_403,3903.39,1,REG000016,0.0
EMP000404,Empresa_404,10221.49,0,REG000011,57877.31
EMP000405,Empresa_405,1944.42,1,REG000000,0.0
EMP000406,Empresa_406,3466.6,1,REG000010,0.0
EMP000407,Empresa_407,-2927.84,1,REG000001,0.0
EMP000408,Empresa_408,9110.74,0,REG000019,29394.29
EMP000409,Empresa_409,5853.34,1,REG000010,0.0
EMP000410,Empresa_410,8661.13,0,REG000016,15534.21
EMP000411,Empresa_411,6382.8,1,REG000002,0.0
EMP000412,Empresa_412,2956.26,1,REG000019,0.0
EMP000413,Empresa_413,7341.01,1,REG000019,0.0
EMP000414,Empresa_414,6152.45,1,REG000019,0.0
EMP000415,Empresa_415,2473.97,1,REG000002,0.0
EMP000416,Empresa_416,2629.11,1,REG000010,0.0
EMP000417,Empresa_417,4399.39,1,REG000003,0.0
EMP000418,Empresa_418,-1906.68,1,REG000019,0.0
EMP000419,Empresa_419,8086.8,0,REG000001,5119.73
EMP000420,Empresa_420,9411.6,0,REG000005,39330.22
EMP000421,Empresa_421,11150.33,0,REG000002,80246.29
EMP000422,Empresa_422,2170.1,1,REG000008,0.0
EMP000423,Empresa_423,1133.34,1,REG000002,0.0
EMP000424,Empresa_424,11323.1,0,REG000005,88761.61
EMP000425,Empresa_425,10217.18,0,REG000005,60162.51
EMP000426,Empresa_426,1289.27,1,REG000000,0.0
EMP000427,Empresa_427,-6906.85,1,REG000001,0.0
EMP000428,Empresa_428,6484.41,1,REG000000,0.0
EMP000429,Empresa_429,1468.7,1,REG000019,0.0
EMP000430,Empresa_430,4987.34,1,REG000001,0.0
EMP000431,Empresa_431,7000.07,1,REG000000,0.0
EMP000432,Empresa_432,14609.65,0,REG000011,169687.63
EMP000433,Empresa_433,3689.19,1,REG000003,0.0
EMP000434,Empresa_434,5378.74,1,REG000019,0.0
EMP000435,Empresa_435,10734.29,0,REG000019,71363.06
EMP000436,Empresa_436,3329.18,1,REG000011,0.0
EMP000437,Empresa_437,13049.6,0,REG000001,133011.08
EMP000438,Empresa_438,15864.49,0,REG000010,198805.97
EMP000439,Empresa_439,19099.24,0,REG000016,287029.45
EMP000440,Empresa_440,10757.51,0,REG000016,70061.06
EMP000441,Empresa_441,4476.6,1,REG000019,0.0
EMP000442,Empresa_442,4988.64,1,REG000016,0.0
EMP000443,Empresa_443,17498.1,0,REG000019,246207.55
EMP000444,Empresa_444,14345.92,0,REG000003,161971.67
EMP000445,Empresa_445,14960.51,0,REG000005,182825.03
EMP000446,Empresa_446,18980.92,0,REG000001,285861.2
EMP000447,Empresa_447,11704.39,0,REG000016,94689.4
EMP000448,Empresa_448,-1147.06,1,REG000001,0.0
EMP000449,Empresa_449,13297.86,0,REG000003,134963.16
EMP000450,Empresa_450,2822.59,1,REG000019,0.0
EMP000451,Empresa_451,5197.77,1,REG000011,0.0
EMP000452,Empresa_452,-116.87,1,REG000003,0.0
EMP000453,Empresa_453,15715.72,0,REG000005,202354.76
EMP000454,Empresa_454,4593.15,1,REG000003,0.0
EMP000455,Empresa_455,3962.22,1,REG000005,0.0
EMP000456,Empresa_456,8348.08,0,REG000011,10142.82
EMP000457,Empresa_457,-4449.79,1,REG000002,0.0
EMP000458,Empresa_458,8300.53,0,REG000002,8146.35
EMP000459,Empresa_459,9893.11,0,REG000011,49510.19
EMP000460,Empresa_460,-3560.62,1,REG000010,0.0
EMP000461,Empresa_461,-194.65,1,REG000010,0.0
EMP000462,Empresa_462,12254.28,0,REG000001,112515.69
EMP000463,Empresa_463,15255.78,0,REG000010,183131.68
EMP000464,Empresa_464,12051.71,0,REG000019,105418.37
EMP000465,Empresa_465,6970.09,1,REG000010,0.0
EMP000466,Empresa_466,10763.14,0,REG000011,71678.55
EMP000467,Empresa_467,4168.91,1,REG000000,0.0
EMP000468,Empresa_468,6661.38,1,REG000000,0.0
EMP000469,Empresa_469,1147.49,1,REG000005,0.0
EMP000470,Empresa_470,446.91,1,REG000002,0.0
