proyecto_id,empresa_id,tipo_energia,capacidad_generacion,reduccion_emisiones,costo_proyecto,estado_proyecto
PROJ000103,EMP021955,HidroelÃ©ctrica,773.24,442.67,157.83,Finalizado
PROJ000104,EMP008292,GeotÃ©rmica,4590.75,487.16,129.41,Finalizado
PROJ000105,EMP017734,GeotÃ©rmica,8721.6,4276.49,72.5,En desarrollo
PROJ000106,EMP012724,Biomasa,4851.95,3190.43,131.32,Finalizado
PROJ000107,EMP016301,GeotÃ©rmica,1637.7,3714.49,175.53,En desarrollo
PROJ000108,EMP005574,GeotÃ©rmica,6101.73,4477.05,184.03,Activo
PROJ000109,EMP014637,Solar,9681.29,1355.05,215.73,Finalizado
PROJ000110,EMP008591,EÃ³lica,2604.67,1078.96,14.96,Activo
PROJ000111,EMP008998,GeotÃ©rmica,5423.01,3787.28,4.44,Activo
PROJ000112,EMP017617,EÃ³lica,9661.79,4319.17,370.27,Activo
PROJ000113,EMP015965,Solar,1186.05,286.65,254.9,Activo
PROJ000114,EMP005455,EÃ³lica,6065.29,1932.14,169.91,Finalizado
PROJ000115,EMP016869,Biomasa,8083.64,3628.64,39.6,En desarrollo
PROJ000116,EMP021112,HidroelÃ©ctrica,9877.12,1789.86,363.0,En desarrollo
PROJ000117,EMP012696,EÃ³lica,9641.07,2753.51,41.96,Activo
PROJ000118,EMP005467,EÃ³lica,3370.63,2839.5,106.2,Finalizado
PROJ000119,EMP015016,Biomasa,4698.72,678.92,381.42,Finalizado
PROJ000120,EMP014591,Solar,7958.55,4937.4,357.42,Finalizado
PROJ000121,EMP010501,EÃ³lica,4389.21,1332.87,159.9,Activo
PROJ000122,EMP010991,EÃ³lica,7051.07,3499.58,307.58,Activo
PROJ000123,EMP011217,GeotÃ©rmica,299.21,338.52,485.47,Finalizado
PROJ000124,EMP015667,GeotÃ©rmica,9669.19,4336.99,171.06,En desarrollo
PROJ000125,EMP011632,HidroelÃ©ctrica,9665.91,3568.58,314.82,Finalizado
PROJ000126,EMP020271,GeotÃ©rmica,1217.25,2316.72,305.59,En desarrollo
PROJ000127,EMP023872,HidroelÃ©ctrica,9356.37,3473.93,372.81,Finalizado
PROJ000128,EMP002839,HidroelÃ©ctrica,1298.2,3216.51,47.92,Activo
PROJ000129,EMP021493,Biomasa,1422.75,1302.55,327.23,Finalizado
PROJ000130,EMP018872,HidroelÃ©ctrica,5211.1,1843.63,427.2,Activo
PROJ000131,EMP018170,GeotÃ©rmica,9946.67,2405.33,296.21,Finalizado
PROJ000132,EMP010519,Biomasa,4340.7,1118.99,349.32,En desarrollo
PROJ000133,EMP011314,EÃ³lica,3901.01,4628.3,197.36,En desarrollo
PROJ000134,EMP023428,EÃ³lica,8314.89,873.48,350.92,En desarrollo
PROJ000135,EMP018842,Biomasa,8626.4,2312.4,483.77,Activo
PROJ000136,EMP004813,Solar,7809.1,4308.75,88.18,Activo
PROJ000137,EMP013203,GeotÃ©rmica,7279.77,1960.32,47.91,Activo
PROJ000138,EMP010247,EÃ³lica,8251.26,1377.41,113.85,Activo
PROJ000139,EMP015239,GeotÃ©rmica,7988.25,2448.4,333.72,En desarrollo
PROJ000140,EMP023427,EÃ³lica,6293.37,3734.24,55.14,En desarrollo
PROJ000141,EMP010886,Biomasa,7269.79,4700.75,122.15,Activo
PROJ000142,EMP021407,Solar,8381.75,1643.33,3.04,Activo
PROJ000143,EMP016173,HidroelÃ©ctrica,3384.1,2317.3,277.53,En desarrollo
PROJ000144,EMP024048,EÃ³lica,8147.45,2282.68,154.45,Finalizado
PROJ000145,EMP022206,HidroelÃ©ctrica,2326.96,4183.7,256.68,Finalizado
PROJ000146,EMP007530,GeotÃ©rmica,4476.55,3166.34,425.64,Activo
PROJ000147,EMP012420,EÃ³lica,3065.55,4571.56,96.64,Activo
PROJ000148,EMP008559,HidroelÃ©ctrica,9579.61,520.05,381.56,Finalizado
PROJ000149,EMP000931,HidroelÃ©ctrica,9777.6,2916.91,84.79,Finalizado
PROJ000150,EMP010470,Biomasa,1480.87,4767.47,180.79,En desarrollo
PROJ000151,EMP014362,GeotÃ©rmica,5122.04,1274.88,362.99,En desarrollo
PROJ000152,EMP016978,GeotÃ©rmica,7516.51,3135.04,440.09,Finalizado
PROJ000153,EMP018335,Biomasa,7210.96,4463.35,349.66,Finalizado
PROJ000154,EMP014382,EÃ³lica,6888.81,185.73,426.4,En desarrollo
PROJ000155,EMP003206,Solar,5767.93,4605.34,27.23,Finalizado
PROJ000156,EMP016890,Solar,9637.57,2590.94,46.53,Activo
PROJ000157,EMP022240,Solar,1221.49,1706.48,465.32,Activo
PROJ000158,EMP005309,HidroelÃ©ctrica,7245.15,4917.07,208.46,Activo
PROJ000159,EMP006802,HidroelÃ©ctrica,6615.41,3576.01,483.78,Activo
PROJ000160,EMP007020,Solar,8740.92,2024.21,92.87,En desarrollo
PROJ000161,EMP006102,Biomasa,4605.36,2795.41,221.01,Activo
PROJ000162,EMP005640,GeotÃ©rmica,7560.78,3090.02,245.61,Activo
PROJ000163,EMP010656,Solar,5046.2,2345.02,418.86,Finalizado
PROJ000164,EMP019801,EÃ³lica,6804.5,3272.74,491.72,Activo
PROJ000165,EMP008331,Solar,5389.88,2443.77,179.3,En desarrollo
PROJ000166,EMP010308,Solar,832.04,390.58,291.9,En desarrollo
PROJ000167,EMP014966,GeotÃ©rmica,5970.03,247.37,193.6,En desarrollo
PROJ000168,EMP019294,EÃ³lica,3096.28,4893.12,468.38,Activo
PROJ000169,EMP007909,EÃ³lica,2138.43,2999.0,495.22,Finalizado
PROJ000170,EMP004839,HidroelÃ©ctrica,3452.55,627.65,314.6,Finalizado
PROJ000171,EMP001675,GeotÃ©rmica,3410.07,161.95,73.31,En desarrollo
PROJ000172,EMP021075,GeotÃ©rmica,3528.01,4015.45,451.57,Activo
PROJ000173,EMP008835,Biomasa,7926.52,788.21,101.48,En desarrollo
PROJ000174,EMP005629,EÃ³lica,5692.52,354.83,341.63,Finalizado
PROJ000175,EMP017667,Biomasa,5787.2,3494.61,8.78,Finalizado
PROJ000176,EMP000493,Biomasa,1910.58,2115.81,270.43,En desarrollo
PROJ000177,EMP005940,Solar,9849.18,515.97,420.26,Finalizado
PROJ000178,EMP011433,Solar,4527.7,3809.57,469.8,En desarrollo
PROJ000179,EMP007134,EÃ³lica,1778.65,259.52,409.85,En desarrollo
PROJ000180,EMP000739,EÃ³lica,5211.53,532.55,28.32,En desarrollo
PROJ000181,EMP012360,EÃ³lica,488.5,3970.27,221.69,En desarrollo
PROJ000182,EMP023978,HidroelÃ©ctrica,3264.61,3818.52,98.75,Finalizado
PROJ000183,EMP015327,Solar,5068.83,2439.11,466.15,Finalizado
PROJ000184,EMP012158,Solar,2506.83,217.6,112.07,En desarrollo
PROJ000185,EMP003321,Biomasa,5416.33,4218.61,296.25,Finalizado
PROJ000186,EMP021753,Solar,7012.86,3349.99,405.77,En desarrollo
PROJ000187,EMP001168,HidroelÃ©ctrica,9029.36,84.55,480.69,Activo
PROJ000188,EMP015432,Biomasa,2903.82,1433.8,293.09,Finalizado
PROJ000189,EMP016578,HidroelÃ©ctrica,4151.68,4285.1,97.67,Finalizado
PROJ000190,EMP002407,EÃ³lica,8465.6,388.75,351.77,Finalizado
PROJ000191,EMP009182,Biomasa,9594.18,4287.9,123.85,Activo
PROJ000192,EMP012163,HidroelÃ©ctrica,1622.4,4697.84,486.24,Finalizado
PROJ000193,EMP016972,Biomasa,8552.5,3899.75,329.04,En desarrollo
PROJ000194,EMP014572,EÃ³lica,3609.8,3249.96,341.98,Finalizado
PROJ000195,EMP020477,EÃ³lica,5865.6,2283.65,64.26,Activo
PROJ000196,EMP018814,Solar,1723.36,3484.51,104.5,Activo
PROJ000197,EMP018826,GeotÃ©rmica,5241.16,2498.47,323.13,Activo
PROJ000198,EMP002799,HidroelÃ©ctrica,2739.84,1675.11,441.63,En desarrollo
PROJ000199,EMP019900,GeotÃ©rmica,3277.85,4391.29,410.18,Finalizado
PROJ000200,EMP010052,Biomasa,9593.57,3998.64,391.33,Activo
PROJ000201,EMP010369,EÃ³lica,6590.45,2979.46,173.41,Finalizado
PROJ000202,EMP006895,GeotÃ©rmica,6369.04,3682.89,362.08,Finalizado
PROJ000203,EMP013437,GeotÃ©rmica,6684.74,2529.72,316.2,En desarrollo
PROJ000204,EMP004079,Biomasa,2333.31,958.78,18.29,Activo
PROJ000205,EMP000120,Biomasa,1513.66,4098.34,392.02,Finalizado
PROJ000206,EMP009358,EÃ³lica,5499.62,88.5,286.31,En desarrollo
PROJ000207,EMP010625,EÃ³lica,5615.17,4061.58,496.33,En desarrollo
PROJ000208,EMP003296,Biomasa,8741.08,3273.66,327.26,Activo
PROJ000209,EMP005068,EÃ³lica,6528.63,2783.74,98.85,Activo
PROJ000210,EMP011739,HidroelÃ©ctrica,9875.45,3521.19,102.37,Activo
PROJ000211,EMP005218,EÃ³lica,2244.02,2046.13,53.64,Activo
PROJ000212,EMP004227,Biomasa,5974.52,331.99,134.76,Finalizado
PROJ000213,EMP009574,HidroelÃ©ctrica,1741.06,1992.81,197.58,Activo
PROJ000214,EMP013963,Biomasa,5615.35,3443.19,420.24,Finalizado
PROJ000215,EMP004716,EÃ³lica,8645.23,2757.72,295.7,Finalizado
PROJ000216,EMP016303,HidroelÃ©ctrica,9532.02,886.76,261.97,Finalizado
PROJ000217,EMP007892,GeotÃ©rmica,1605.73,1625.16,278.79,En desarrollo
PROJ000218,EMP018166,HidroelÃ©ctrica,6639.08,3058.09,485.0,En desarrollo
PROJ000219,EMP024034,Biomasa,1447.12,3810.57,435.38,Activo
PROJ000220,EMP003742,EÃ³lica,5205.63,2424.91,71.93,En desarrollo
PROJ000221,EMP018802,Solar,9472.44,4366.42,276.72,Activo
PROJ000222,EMP014951,EÃ³lica,4303.54,378.51,498.66,En desarrollo
PROJ000223,EMP002195,EÃ³lica,9445.24,2138.83,61.42,Activo
PROJ000224,EMP005477,Biomasa,1918.04,1202.35,142.82,En desarrollo
PROJ000225,EMP014711,Biomasa,4942.71,1873.03,463.56,Activo
PROJ000226,EMP020740,Biomasa,694.86,3770.09,303.8,En desarrollo
PROJ000227,EMP002824,Biomasa,5385.48,414.76,475.88,Activo
PROJ000228,EMP004459,GeotÃ©rmica,7719.63,2579.7,332.33,En desarrollo
PROJ000229,EMP009211,GeotÃ©rmica,3974.76,4948.46,453.37,En desarrollo
PROJ000230,EMP007148,HidroelÃ©ctrica,6571.09,939.3,298.85,En desarrollo
PROJ000231,EMP012022,Solar,8264.78,1121.06,132.82,En desarrollo
PROJ000232,EMP016178,HidroelÃ©ctrica,2640.32,2856.36,88.12,Activo
PROJ000233,EMP018359,EÃ³lica,1709.71,4569.72,209.43,En desarrollo
PROJ000234,EMP012226,HidroelÃ©ctrica,1948.69,1224.59,308.53,En desarrollo
PROJ000235,EMP014579,EÃ³lica,3864.09,3589.35,479.21,Activo
PROJ000236,EMP013224,GeotÃ©rmica,9860.95,2985.52,148.5,Activo
PROJ000237,EMP014141,GeotÃ©rmica,598.12,868.17,43.51,Activo
PROJ000238,EMP020648,GeotÃ©rmica,8061.53,1876.28,36.38,Finalizado
PROJ000239,EMP013434,Solar,8096.53,2683.58,455.95,En desarrollo
PROJ000240,EMP001434,Solar,8160.42,4488.46,466.05,En desarrollo
PROJ000241,EMP024235,Biomasa,8566.83,2107.4,107.71,Activo
PROJ000242,EMP005009,Biomasa,7031.26,3452.25,46.62,Activo
PROJ000243,EMP005785,Biomasa,2916.17,475.44,266.55,Activo
PROJ000244,EMP012795,Solar,381.11,117.12,390.7,Finalizado
PROJ000245,EMP012788,Biomasa,6835.27,4174.64,220.43,En desarrollo
PROJ000246,EMP012128,GeotÃ©rmica,9004.71,3438.18,358.23,Finalizado
PROJ000247,EMP005599,GeotÃ©rmica,3583.15,121.75,109.84,Finalizado
PROJ000248,EMP015141,EÃ³lica,6814.13,4928.51,467.79,Activo
PROJ000249,EMP022248,Biomasa,5132.1,203.39,352.05,Activo
PROJ000250,EMP013771,HidroelÃ©ctrica,5685.15,1254.43,361.18,En desarrollo
PROJ000251,EMP021080,GeotÃ©rmica,4722.92,2849.97,265.34,En desarrollo
PROJ000252,EMP010259,Biomasa,7352.95,2321.52,220.09,En desarrollo
PROJ000253,EMP008492,EÃ³lica,1595.05,4103.63,109.78,En desarrollo
PROJ000254,EMP020263,HidroelÃ©ctrica,1412.31,2994.95,481.99,En desarrollo
PROJ000255,EMP001446,HidroelÃ©ctrica,6026.8,2347.96,359.61,Activo
PROJ000256,EMP004109,GeotÃ©rmica,5404.4,1128.53,475.13,En desarrollo
PROJ000257,EMP023753,GeotÃ©rmica,8048.05,1741.65,225.08,Activo
PROJ000258,EMP013213,Biomasa,8137.13,1608.57,321.36,Activo
PROJ000259,EMP000300,EÃ³lica,6695.41,545.7,87.99,Activo
PROJ000260,EMP011306,Biomasa,6486.87,2365.02,267.91,En desarrollo
PROJ000261,EMP020259,EÃ³lica,2663.52,4522.67,441.43,Finalizado
PROJ000262,EMP016716,EÃ³lica,6968.69,3238.04,186.58,Activo
PROJ000263,EMP006140,GeotÃ©rmica,578.0,2948.24,19.55,Finalizado
PROJ000264,EMP009899,GeotÃ©rmica,9987.7,3238.0,222.85,Finalizado
PROJ000265,EMP009283,EÃ³lica,443.6,1274.16,66.59,Finalizado
PROJ000266,EMP023438,GeotÃ©rmica,5082.94,3713.08,451.69,Activo
PROJ000267,EMP000893,GeotÃ©rmica,8368.14,4391.93,59.07,Activo
PROJ000268,EMP009057,GeotÃ©rmica,2005.21,1220.53,250.7,Finalizado
PROJ000269,EMP005762,HidroelÃ©ctrica,9442.66,4566.85,261.69,En desarrollo
PROJ000270,EMP022394,Biomasa,1254.01,2160.52,302.37,Activo
PROJ000271,EMP009114,Solar,5729.97,910.2,153.86,Finalizado
PROJ000272,EMP022225,HidroelÃ©ctrica,6519.36,3075.65,70.3,Activo
PROJ000273,EMP016939,Biomasa,9258.18,1851.27,52.08,Activo
PROJ000274,EMP021953,HidroelÃ©ctrica,6976.97,4286.56,228.53,En desarrollo
PROJ000275,EMP015770,Solar,8450.64,529.48,98.2,Activo
PROJ000276,EMP006885,HidroelÃ©ctrica,3198.08,2757.53,149.31,En desarrollo
PROJ000277,EMP003779,Biomasa,4457.7,4378.78,393.26,En desarrollo
PROJ000278,EMP009023,GeotÃ©rmica,2278.44,4465.46,498.2,En desarrollo
PROJ000279,EMP002284,HidroelÃ©ctrica,8004.88,1774.7,247.5,Activo
PROJ000280,EMP010404,EÃ³lica,1962.65,2758.07,412.1,Activo
PROJ000281,EMP016991,Solar,5679.37,4820.43,47.76,Activo
PROJ000282,EMP023816,Solar,2690.66,1446.74,487.52,En desarrollo
PROJ000283,EMP018574,Biomasa,3084.25,4771.48,24.87,En desarrollo
PROJ000284,EMP014573,EÃ³lica,1431.02,755.72,20.73,En desarrollo
PROJ000285,EMP019020,EÃ³lica,8484.04,3730.61,470.79,Activo
PROJ000286,EMP011228,Solar,3517.98,3614.32,388.98,En desarrollo
PROJ000287,EMP020854,Biomasa,8556.94,4906.99,194.12,En desarrollo
PROJ000288,EMP010664,GeotÃ©rmica,3831.02,2526.33,262.41,Finalizado
PROJ000289,EMP024301,Biomasa,4625.82,4227.99,213.47,Finalizado
PROJ000290,EMP006798,EÃ³lica,288.74,3488.18,231.81,En desarrollo
PROJ000291,EMP007114,HidroelÃ©ctrica,8198.01,3999.52,473.45,En desarrollo
PROJ000292,EMP023217,EÃ³lica,6703.17,1324.6,251.05,Finalizado
PROJ000293,EMP008624,GeotÃ©rmica,4118.57,2855.91,38.0,Activo
PROJ000294,EMP018419,Biomasa,5528.59,1823.44,295.86,Finalizado
PROJ000295,EMP022365,EÃ³lica,448.73,2998.66,244.47,Finalizado
PROJ000296,EMP011458,HidroelÃ©ctrica,2774.75,4282.38,0.49,Finalizado
PROJ000297,EMP018725,Solar,8836.76,2409.01,200.66,En desarrollo
PROJ000298,EMP007480,EÃ³lica,6487.5,4870.37,196.75,En desarrollo
PROJ000299,EMP020868,Solar,5339.04,2282.01,174.98,Activo
PROJ000300,EMP013990,Solar,8206.98,3908.62,265.31,Finalizado
PROJ000301,EMP023382,HidroelÃ©ctrica,1898.58,3645.23,102.29,En desarrollo
PROJ000302,EMP018707,GeotÃ©rmica,1525.35,3816.18,229.47,Activo
PROJ000303,EMP004710,HidroelÃ©ctrica,7979.69,1082.38,104.02,Finalizado
PROJ000304,EMP019845,Solar,6496.99,1897.0,84.24,Finalizado
PROJ000305,EMP015526,Biomasa,7092.08,926.13,452.98,Finalizado
PROJ000306,EMP010936,Solar,5869.38,3928.5,276.65,En desarrollo
PROJ000307,EMP014161,HidroelÃ©ctrica,1556.32,4894.22,186.75,Activo
PROJ000308,EMP018354,Biomasa,7260.99,195.4,314.38,Activo
PROJ000309,EMP011567,HidroelÃ©ctrica,4383.03,3083.97,353.82,En desarrollo
PROJ000310,EMP004372,Solar,8172.4,216.36,341.81,Activo
PROJ000311,EMP014223,GeotÃ©rmica,5516.51,2289.08,396.67,Activo
PROJ000312,EMP004506,HidroelÃ©ctrica,9101.92,1899.08,220.05,Finalizado
PROJ000313,EMP024302,GeotÃ©rmica,9715.88,2294.16,385.64,Activo
PROJ000314,EMP007148,HidroelÃ©ctrica,4178.86,2563.43,15.42,Finalizado
PROJ000315,EMP013948,EÃ³lica,3913.97,2856.09,456.36,Finalizado
PROJ000316,EMP019074,GeotÃ©rmica,7082.87,513.44,157.77,Activo
PROJ000317,EMP001036,GeotÃ©rmica,1298.87,4201.07,300.21,Finalizado
PROJ000318,EMP004618,Biomasa,5734.98,532.84,454.95,Activo
PROJ000319,EMP009199,Solar,7642.35,1464.24,107.13,En desarrollo
PROJ000320,EMP010924,Biomasa,531.2,3683.9,27.81,En desarrollo
PROJ000321,EMP008676,Biomasa,51.65,606.26,361.59,Activo
PROJ000322,EMP005812,GeotÃ©rmica,8377.62,2527.98,52.56,Finalizado
PROJ000323,EMP019598,GeotÃ©rmica,9897.0,3102.52,429.86,Finalizado
PROJ000324,EMP004551,Solar,2389.65,405.47,178.15,Finalizado
PROJ000325,EMP001077,HidroelÃ©ctrica,2654.93,4014.49,107.0,En desarrollo
PROJ000326,EMP004075,Biomasa,1179.7,162.42,75.17,Activo
PROJ000327,EMP020602,HidroelÃ©ctrica,3662.55,1888.13,319.66,Finalizado
PROJ000328,EMP014523,Solar,8002.42,3933.93,470.02,Finalizado
PROJ000329,EMP012235,GeotÃ©rmica,5458.31,2152.47,352.19,En desarrollo
PROJ000330,EMP000033,Biomasa,3133.53,3953.46,215.24,Activo
PROJ000331,EMP012237,Biomasa,3287.95,1761.73,32.71,Activo
PROJ000332,EMP015182,Solar,795.93,2265.44,439.72,Activo
PROJ000333,EMP006253,GeotÃ©rmica,7769.3,82.02,36.14,En desarrollo
PROJ000334,EMP009417,HidroelÃ©ctrica,3704.44,2749.4,279.07,Activo
PROJ000335,EMP018744,Biomasa,8195.33,600.86,354.34,Finalizado
PROJ000336,EMP009731,EÃ³lica,4537.74,3998.08,123.91,En desarrollo
PROJ000337,EMP010963,Biomasa,2337.79,3567.35,252.61,Activo
PROJ000338,EMP003291,EÃ³lica,3333.18,1624.73,122.72,Finalizado
PROJ000339,EMP015145,HidroelÃ©ctrica,4052.85,631.9,70.85,En desarrollo
